2020-11-23 14:44:18.445 [main] INFO  com.ouyang.community.CommunityApplication - Starting CommunityApplication on DESKTOP-NOJ77EQ with PID 13720 (F:\idea_workspace\Community\target\classes started by ouyang in F:\idea_workspace\Community)
2020-11-23 14:44:18.454 [main] INFO  com.ouyang.community.CommunityApplication - No active profile set, falling back to default profiles: default
2020-11-23 14:44:20.166 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-23 14:44:20.169 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2020-11-23 14:44:20.219 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 42ms. Found 0 Elasticsearch repository interfaces.
2020-11-23 14:44:20.224 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-23 14:44:20.225 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2020-11-23 14:44:20.229 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3ms. Found 0 Reactive Elasticsearch repository interfaces.
2020-11-23 14:44:20.266 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-23 14:44:20.268 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-23 14:44:20.285 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3ms. Found 0 Redis repository interfaces.
2020-11-23 14:44:21.132 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-11-23 14:44:21.147 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-11-23 14:44:21.148 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-11-23 14:44:21.148 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-11-23 14:44:21.287 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/community] - Initializing Spring embedded WebApplicationContext
2020-11-23 14:44:21.288 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2715 ms
2020-11-23 14:44:23.045 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-23 14:44:23.135 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-11-23 14:44:25.352 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.5.RELEASE
2020-11-23 14:44:25.352 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2
2020-11-23 14:44:25.353 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client used: 7.6.2
2020-11-23 14:44:25.716 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-11-23 14:44:25.733 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/community'
2020-11-23 14:44:25.745 [main] INFO  com.ouyang.community.CommunityApplication - Started CommunityApplication in 8.699 seconds (JVM running for 10.732)
2020-11-23 14:45:26.132 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/community] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-23 14:45:26.132 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-23 14:45:26.143 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2020-11-23 14:48:57.673 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-23 15:12:20.451 [main] INFO  com.ouyang.community.CommunityApplication - Starting CommunityApplication on DESKTOP-NOJ77EQ with PID 2948 (F:\idea_workspace\Community\target\classes started by ouyang in F:\idea_workspace\Community)
2020-11-23 15:12:20.456 [main] INFO  com.ouyang.community.CommunityApplication - No active profile set, falling back to default profiles: default
2020-11-23 15:12:21.958 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
